ID,Concentration,Group,IS,C8:0  ,C9:0  ,C10:0  ,C11:0  ,C12:0  ,C13:0  ,C14:0,C15:0  ,C16:1(9z)  ,C16:0  ,C17:0  ,C18:3_1  ,C18:3_2  ,C18:2  ,C18:1(9z/6z))  ,C18:0  ,13C18:0  ,C18:1(11z/9E)  ,C19:0  ,C20:0  ,C21:0  ,C22:1_1  ,C22:1_2  ,C22:0  ,C23:0  ,C24:1  ,C24:0_1  ,C24:0_2  
S10,0.19,S,455894,0,0,251,0,0,0,0,0,0,0,0,1523,394,0,0,0,498427,0,0,0,0,0,0,0,0,0,0,0
S9,0.39,S,166520,0,1591,423,0,0,1083,0,0,0,7998,0,1523,16022,0,0,13178,165268,564,0,0,0,0,0,0,0,0,0,0
S8,0.78,S,219307,2923,1695,437,556,0,2632,9155,3358,895,10766,2699,1533,16736,0,1495,18103,244960,1344,2115,2067,1519,341,101,771,392,0,0,0
S7,1.56,S,188983,2971,1470,434,927,3773,4602,13446,6057,1425,15762,4975,1560,17674,74,2579,25144,217160,2436,4334,4068,3189,695,222,1878,773,0,922,488
S6,3.125,S,136389,4276,1615,448,1058,4450,6157,16737,9396,1971,19878,8048,1539,19290,98,3769,30313,174238,3997,7391,6889,5284,1107,352,3516,1227,242,1217,659
S5,6.25,S,168706,6135,1969,527,1289,8284,15372,36733,25642,5747,40342,23079,1546,18898,253,13036,57218,220418,13488,22586,22112,16881,4174,1265,15795,10513,681,10912,5742
S4,12.5,S,181574,3149,2110,837,1751,14375,31788,76290,64189,14034,93564,65922,1593,17815,521,37928,127131,277439,39602,71298,73186,59728,12647,3880,60689,40689,1647,49787,26462
S3,25,S,217498,8166,3963,1890,5547,47362,96368,172215,168701,42393,212498,175303,1166,83,1599,104799,247874,293904,96188,187336,198992,174545,41890,13297,176099,139641,9571,248945,133729
S2,50,S,273397,14009,6230,5708,0,194523,0,409651,427265,125475,487122,441210,404,329,4840,270336,515451,322727,231776,467531,501507,451655,0,0,442638,376605,37563,654583,351867
S1,100,S,226989,0,18541,83835,0,0,0,791030,853175,0,928586,890133,772,403,0,546467,955987,228684,430786,940157,986514,887052,0,0,843520,741134,94586,1221358,658301
PMP1,0,Sample,849224,16804,17312,7675,677,17952,600,81741,10724,59066,1065415,11795,212,653,195229,604608,388922,921724,55171,900,2280,210,1240,285,1321,496,1167,9278,23537
PMP2,0,Sample,742043,14966,12979,6267,402,15326,476,71567,8670,49404,944443,10225,377,473,167442,530803,348169,803757,48389,743,1909,116,789,175,1258,496,748,8387,22370
PMP3,0,Sample,759400,14967,11902,6127,272,15562,458,72173,9860,52699,985795,10855,369,563,190260,542667,356830,820980,52454,792,2058,179,1323,268,1164,453,924,6940,15504
PMP5,0,Sample,818357,12686,9292,6222,331,16473,484,74392,10004,54617,990378,11639,195,659,166486,550040,365265,887702,51205,844,2081,148,1306,405,1073,437,1108,6645,13627
PMP4,0,Sample,718213,11949,9430,5694,302,14877,403,66991,9028,49020,910734,10408,174,583,159796,506950,330240,780957,46480,795,1981,109,789,434,922,404,190,5300,11545
PMP6,0,Sample,710723,12172,9891,5510,346,14029,457,63037,8775,45166,851450,9994,175,560,136464,463870,327181,776827,46734,803,1934,251,1207,135,1041,671,868,6177,11044
RB1,0,R,644186,652,852,450,156,943,14,6010,1415,2306,196541,2135,62,2994,19430,47223,115869,781496,10236,433,1492,90,216,409,293,280,314,1573,4314
RB2,0,R,719914,7817,5432,803,155,1013,119,6026,1273,2153,175680,1859,172,975,19987,41884,101221,848703,8805,204,798,76,68,131,262,207,392,1325,3114
RB3,0,R,821424,8826,5869,718,184,1127,134,5964,844,1186,112803,1048,1859,92,5524,21975,78385,943790,4788,297,360,77,84,131,165,142,190,942,1584